Paper #,Device #,DOI,Manufacturer,Manuscripted submitted year,Country,Efficiency (%),Voc (V),Voc per cell (V),Isc (mA),Jsc (mA/cm^2),FF (%),Pmax (mW),Vmax (V),Imax (mA),Apeture area (cm^2),Device size type,Sweep direction,Sweep rate (mV/s),Certified year,Transparent conductive oxide type,Electron transport layer type,Perovskite composition,Perovskite chemistry type,extra,extra%,MA,FA,Pb,I,Br,Passive_layer,Perovksite depostion method,Hole transport layer type,Conductive electrode layer,Device structure,exposed_time,retained_per,stability
1,1,10.1038/nature12340,École polytechnique fédérale de Lausanne,2013,Switzerland,14.14,1.0071,1.0071,4.46,21.33971292,65.7,2.96,0.7763,3.81,0.209,sub cell (~0.1 cm^2),NA,NA,2013,FTO,c-TiO2/mp-TiO2,MAPbI3,MAPbI3,NA,0,1,0,1,3,0,NA,spin coating,Spiro-OMeTAD,Au,Mesoscopic,500,80,40
2,1,10.1038/nmat4014,Korean Research Institute of Chemical Technology,2014,South Korea,16.15,1.1085,1.1085,1.84,19.61620469,74.2,1.51,0.9052,1.67,0.0938,sub cell (~0.1 cm^2),NA,NA,2013,FTO,c-TiO2/mp-TiO2,MAPb(I1-xBrx)3(x=0.1-0.15),"MAPb(I,Br)3",NA,0,1,0,1,2.58,0.42,NA,spin coating,PTAA,Au,Mesoscopic,unknown,unknown,unknown
3,1,10.1126/science.1254763,Huazhong University of Science and Technology,2014,China,12.84,0.8579,0.8579,1.65,22.75862069,65.8,0.93,0.654,1.42,0.0725,sub cell (~0.1 cm^2),NA,NA,2013,FTO,c-TiO2/mp-TiO2,(5-AVA)x(MA)1-xPbI3@ZrO2,MAPbI3,5-AVA,0,0.9,0,1,3,0,ZrO2,screen printing,No HTL,carbon black/graphite,Mesoscopic,1008,100,100.8
4,1,10.1126/science.aaa9272,Korean Research Institute of Chemical Technology,2015,South Korea,20.11,1.059,1.059,2.354,24.64921466,77,1.92,0.894,2.148,0.0955,sub cell (~0.1 cm^2),average,NA,2014,FTO,c-TiO2/mp-TiO2,(FAPbI3)0.95(MAPbBr3)0.05,"(FA,MA)Pb(I,Br)3",NA,0,0.05,0.95,1,2.85,0.15,NA,spin coating,PTAA,Au,Mesoscopic,unkown,unknown,unknown
5,1,10.1126/science.aad1015,"National Institute for Materials Science, Japan",2015,Japan,15,1.09,1.09,20.96,20.60963618,66.8,15.26,0.879,17.35,1.017,cell ( ~1 cm^2),reverse,NA,2015,FTO,C60,MAPbI3,MAPbI3,NA,0,1,0,1,3,0,NA,spin coating,NiMgLiO,Ag,Inverted planar,1000,97,97
7,1,10.1126/science.aaf8060,École polytechnique fédérale de Lausanne,2016,Switzerland,19.56,1.1428,1.1428,22.601,22.59422173,75.7,19.56,0.9534,20.518,1.0003,cell ( ~1 cm^2),forward,43,2016,FTO,c-TiO2/mp-TiO2,FA0.81MA0.15PbI2.51Br0.45,"(FA,MA)Pb(I,Br)3",NA,0,0.15,0.81,1,2.51,0.45,NA,spin coating,Spiro-OMeTAD,Au,Mesoscopic,100,90,9
8,1,10.1038/NENERGY.2016.177,"Institute of semicondutors, Chinese Academy of Sciences",2016,China,19.9,1.069,1.069,1.792,24.31478969,76.6,1.467,0.897,1.646,0.0737,sub cell (~0.1 cm^2),average,26,2016,ITO,SnO2,(FAPbI3)0.97(MAPbBr3)0.03,"(FA,MA)Pb(I,Br)3",NA,0,0.03,0.97,1,2.91,0.09,NA,spin coating,Spiro-OMeTAD,Au,Planar,960,99,95.04
9,1,10.1038/nenergy.2016.142,École polytechnique fédérale de Lausanne,2016,Switzerland,21.02,1.134,1.134,2.497,23.7583254,78,2.208,0.9568,2.308,0.1051,sub cell (~0.1 cm^2),NA,NA,2015,FTO,c-TiO2/mp-TiO2,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,"(FA,MA)Pb(I,Br)3",NA,0,0.15,0.81,1,2.55,0.45,NA,spin coating,Spiro-OMeTAD,Au,Mesoscopic,unknown,unknown,unknown
10,1,10.1038/NENERGY.2016.148,"National Institute for Materials Science, Japan",2016,Japan,18.21,1.081,1.081,21.95,21.47749511,78.4,18.61,0.903,20.62,1.022,cell ( ~1 cm^2),forward,NA,2015,FTO,c-TiO2,"FA0.85MA0.15Pb(I0.85,Br0.85)3","(FA,MA)Pb(I,Br)3",NA,0,0.15,0.85,1,2.55,2.55,NA,spin coating,NiMgLiO,Ag,Inverted planar,1000,90,90
11,1,10.1039/c6ee02139e,Shaanxi Normal University,2016,China,19.421,1.0994,1.0994,2.545,22.44268078,78.72,2.214,0.9348,2.356,0.1134,sub cell (~0.1 cm^2),reverse,NA,2016,FTO,c-TiO2,MAPbI3,MAPbI3,NA,0,1,0,1,3,0,NA,Vacuum assisted deposition,PTAA,Au,Planar,6,85,0.51
12,1,10.1038/ncomms15330,Shanghai JiaoTong University,2016,China,15.57,1.074,1.074,19.68,19.29411765,75.1,15.89,0.871,18.23,1.02,cell ( ~1 cm^2),NA,NA,2015,FTO,C60,MAPbI3,MAPbI3,NA,0,1,0,1,3,0,NA,spin coating,NiMgLiO,Ag,Inverted planar,1000,97,97
13,1,10.1126/science.aai9081,University of Toronto,2016,Canada,20.14,1.1696,1.1696,1.061,21.69734151,79.4,0.985,1.0009,0.985,0.0489,sub cell (~0.1 cm^2),reverse,10,2016,ITO,c-TiO2,Cs0.05FA0.81MA0.14PbI2.55Br0.45,"(FA,MA,Cs)Pb(I,Br)3",Cs,0.05,0.14,0.81,1,2.55,0.45,NA,spin coating,Spiro-OMeTAD,Au,Planar,500,90,45
13,2,10.1126/science.aai9081,University of Toronto,2016,Canada,19.46,1.1947,1.1947,23.815,21.51115527,75.7,21.543,0.9785,22.016,1.1071,cell ( ~1 cm^2),reverse,10,2016,ITO,c-TiO2,Cs0.05FA0.81MA0.14PbI2.55Br0.45,"(FA,MA,Cs)Pb(I,Br)3",Cs,0.05,0.14,0.81,1,2.55,0.45,NA,spin coating,Spiro-OMeTAD,Au,Planar,500,90,45
14,1,10.1039/c6ee02693a,Nanyang Technological University,2016,Singapore,9.11,3.766,0.9415,162.452,20.48936761,47.2,288.99,2.3771,121.574,31.7144,submodule ( >10 cm^2),reverse,NA,2016,FTO,c-TiO2/mp-TiO2,MAPbI3,MAPbI3,NA,0,1,0,1,3,0,NA,screen printing,No HTL,Carbon paste,Mesoscopic,2000,95,190
15,1,10.1002/cssc.201601387,École polytechnique fédérale de Lausanne,2016,Switzerland,18.755,1.132,1.132,3.6765,23.44706633,70.65,2.9405,0.9078,3.239,0.1568,sub cell (~0.1 cm^2),average,NA,2015,FTO,c-TiO2/mp-TiO2,(FAPbI3)0.85(MAPbBr3)0.15,"(FA,MA)Pb(I,Br)3",NA,0,0.15,0.85,1,2.55,0.45,NA,spin coating,Spiro-OMeTAD,Au,Mesoscopic,unknown,unknown,unknown
16,1,10.1038/nenergy.2017.102,University of Nebraska Lincoln,2016,USA,20.59,1.1313,1.1313,1.646,22.98882682,79.1,1.473,0.9634,1.529,0.0716,sub cell (~0.1 cm^2),reverse,100,2017,ITO,C60,"FA0.85MA0.15Pb(I0.85,Br0.85)3/Choline chloride","(FA,MA)Pb(I,Br)3",NA,0,0.15,0.85,1,2.55,2.55,Choline chloride,spin coating,PTAA,Cu,Planar,800,70,56
